BookingReference,CustomerID,BookingDate,Destination,ServiceType,TripType,NumberOfTravelers,Nights,BookingChannel,BookingAmount,Status
BK202306053660,TRVL001758,2023-06-05,"Berlin, Germany",Hotel Only,One Way,3,8,Website,1202.63,Confirmed
BK202306059087,TRVL001368,2023-06-05,"Tokyo, Japan",Complete Package,One Way,2,8,Email,14306.37,Confirmed
BK202306058462,TRVL001061,2023-06-05,"Phuket, Thailand",Hotel Only,One Way,3,11,Phone,601.37,Confirmed
BK202306052946,TRVL001074,2023-06-05,"Paris, France",Flight + Hotel,Multi-City,2,14,Mobile App,4914.22,Cancelled
BK202306059838,TRVL000569,2023-06-05,"Los Angeles, USA",Cruise,Multi-City,4,18,Mobile App,9978.08,Confirmed
BK202306055805,TRVL000886,2023-06-05,"London, UK",Flight Only,Multi-City,2,0,Travel Agent,650.08,Confirmed
BK202306051276,TRVL001049,2023-06-05,"London, UK",Cruise,Multi-City,2,8,Travel Agent,7841.15,Confirmed
BK202306051289,TRVL000900,2023-06-05,"Bangkok, Thailand",Cruise,One Way,4,17,Email,21804.24,Confirmed
BK202306055547,TRVL001170,2023-06-05,"Bali, Indonesia",Hotel Only,Multi-City,1,11,Mobile App,662.95,Confirmed
BK202306059646,TRVL000424,2023-06-05,Iceland,Hotel Only,Round Trip,2,14,Travel Agent,1053.78,Confirmed
BK202306058729,TRVL000560,2023-06-05,Switzerland,Flight Only,Multi-City,2,0,Email,1477.27,Confirmed
BK202306054088,TRVL000495,2023-06-05,"Paris, France",Flight Only,Multi-City,3,0,Mobile App,683.69,Confirmed
BK202306052103,TRVL000427,2023-06-05,Iceland,Complete Package,Round Trip,4,20,Website,7071.09,Confirmed
BK202306058946,TRVL001797,2023-06-05,"Copenhagen, Denmark",Hotel Only,One Way,1,20,Website,295.92,Confirmed
BK202306054340,TRVL000272,2023-06-05,Switzerland,Cruise,Round Trip,2,20,Travel Agent,11425.35,Confirmed
BK202306061979,TRVL000269,2023-06-06,"London, UK",Complete Package,One Way,3,9,Travel Agent,17960.68,Confirmed
BK202306068672,TRVL000161,2023-06-06,"Bangkok, Thailand",Hotel Only,One Way,2,5,Mobile App,340.68,Cancelled
BK202306064259,TRVL000543,2023-06-06,"Berlin, Germany",Complete Package,One Way,3,14,Mobile App,5452.91,Confirmed
BK202306065833,TRVL000040,2023-06-06,"Bali, Indonesia",Complete Package,Multi-City,1,10,Website,6350.95,Confirmed
BK202306065827,TRVL000972,2023-06-06,"Santorini, Greece",Hotel Only,Round Trip,1,6,Phone,572.46,Confirmed
BK202306068917,TRVL001803,2023-06-06,"Copenhagen, Denmark",Hotel Only,One Way,3,16,Email,501.2,Confirmed
BK202306066825,TRVL000411,2023-06-06,"Phuket, Thailand",Complete Package,Round Trip,2,15,Email,5550.66,Confirmed
BK202306066802,TRVL001297,2023-06-06,Maldives,Flight Only,Multi-City,1,0,Phone,626.91,Confirmed
BK202306063515,TRVL000030,2023-06-06,"Vienna, Austria",Flight + Hotel,One Way,2,3,Email,3261.98,Confirmed
BK202306063691,TRVL000045,2023-06-06,"Phuket, Thailand",Flight + Hotel,Round Trip,2,6,Travel Agent,1706.98,Confirmed
BK202306064937,TRVL000062,2023-06-06,"Phuket, Thailand",Complete Package,One Way,5,12,Email,24582.03,Confirmed
BK202306063307,TRVL000052,2023-06-06,"Santorini, Greece",Cruise,Multi-City,3,10,Website,10859.25,Confirmed
BK202306068710,TRVL001605,2023-06-06,"Phuket, Thailand",Flight + Hotel,Round Trip,2,16,Website,4706.36,Confirmed
BK202306068630,TRVL001083,2023-06-06,"Rome, Italy",Complete Package,Round Trip,1,2,Travel Agent,1693.03,Confirmed
BK202306061364,TRVL000434,2023-06-06,"Bali, Indonesia",Hotel Only,Round Trip,4,2,Mobile App,3589.4,Confirmed
BK202306063508,TRVL000247,2023-06-06,"Dubai, UAE",Cruise,Round Trip,3,7,Travel Agent,6150.6,Confirmed
BK202306063028,TRVL001235,2023-06-06,Switzerland,Cruise,One Way,2,5,Phone,18786.17,Confirmed
BK202306067812,TRVL000309,2023-06-06,"Vienna, Austria",Complete Package,Round Trip,1,15,Website,4202.44,Confirmed
BK202306062020,TRVL000408,2023-06-06,"Phuket, Thailand",Complete Package,Round Trip,3,13,Email,11063.25,Confirmed
BK202306066780,TRVL000446,2023-06-06,"Tokyo, Japan",Flight Only,Round Trip,2,0,Phone,2185.26,Confirmed
BK202306069872,TRVL000126,2023-06-06,"Bali, Indonesia",Hotel Only,One Way,2,20,Travel Agent,195.35,Confirmed
BK202306076817,TRVL000893,2023-06-07,"Los Angeles, USA",Flight + Hotel,Round Trip,1,4,Website,1880.9,Confirmed
BK202306076498,TRVL000490,2023-06-07,"Berlin, Germany",Cruise,Round Trip,3,12,Mobile App,31861.65,Confirmed
BK202306071902,TRVL000073,2023-06-07,"Vienna, Austria",Hotel Only,One Way,4,15,Mobile App,1241.3,Confirmed
BK202306073784,TRVL001083,2023-06-07,"Amsterdam, Netherlands",Hotel Only,One Way,2,19,Travel Agent,1054.69,Confirmed
BK202306075707,TRVL000630,2023-06-07,"Barcelona, Spain",Flight + Hotel,One Way,2,14,Travel Agent,1082.31,Confirmed
BK202306074597,TRVL000672,2023-06-07,"Istanbul, Turkey",Hotel Only,Round Trip,2,17,Email,959.09,Confirmed
BK202306079279,TRVL000181,2023-06-07,"Sydney, Australia",Flight + Hotel,Round Trip,5,11,Travel Agent,3792.93,Confirmed
BK202306076011,TRVL001142,2023-06-07,"Tokyo, Japan",Cruise,One Way,2,8,Email,19264.67,Confirmed
BK202306072142,TRVL000745,2023-06-07,"Dubai, UAE",Flight + Hotel,Multi-City,4,7,Email,3341.67,Confirmed
BK202306073125,TRVL000996,2023-06-07,"Rome, Italy",Flight + Hotel,Multi-City,1,4,Email,2370.6,Confirmed
BK202306077772,TRVL000069,2023-06-07,"Tokyo, Japan",Cruise,One Way,4,6,Email,15372.24,Confirmed
BK202306076264,TRVL001487,2023-06-07,"New York, USA",Hotel Only,Round Trip,2,20,Email,1103.68,Confirmed
BK202306071926,TRVL000447,2023-06-07,"Amsterdam, Netherlands",Complete Package,One Way,2,16,Travel Agent,4738.37,Confirmed
BK202306073532,TRVL000432,2023-06-07,"Phuket, Thailand",Cruise,Round Trip,5,2,Website,48628.48,Confirmed
BK202306073111,TRVL000396,2023-06-07,"Cancun, Mexico",Complete Package,One Way,4,17,Mobile App,12520.0,Confirmed
BK202306073047,TRVL000132,2023-06-07,"Santorini, Greece",Flight + Hotel,One Way,2,15,Mobile App,4335.25,Confirmed
BK202306074520,TRVL000703,2023-06-07,"Cancun, Mexico",Flight + Hotel,One Way,1,10,Phone,1231.57,Confirmed
BK202306073606,TRVL000805,2023-06-07,"Istanbul, Turkey",Flight Only,Round Trip,3,0,Website,3812.94,Cancelled
BK202306077736,TRVL001398,2023-06-07,"Phuket, Thailand",Hotel Only,One Way,2,2,Website,1227.8,Cancelled
BK202306075587,TRVL000996,2023-06-07,"Santorini, Greece",Hotel Only,One Way,2,9,Mobile App,1035.57,Confirmed
BK202306072441,TRVL000009,2023-06-07,"Dubai, UAE",Flight + Hotel,Multi-City,2,7,Travel Agent,4590.2,Confirmed
BK202306074353,TRVL000725,2023-06-07,"Dubai, UAE",Flight + Hotel,Round Trip,1,6,Website,1871.07,Confirmed
BK202306073947,TRVL000446,2023-06-07,Iceland,Cruise,One Way,2,14,Website,19362.8,Confirmed
BK202306086544,TRVL000962,2023-06-08,Maldives,Hotel Only,Round Trip,3,13,Website,553.8,Confirmed
BK202306083072,TRVL000508,2023-06-08,"London, UK",Flight Only,Round Trip,1,0,Website,981.69,Confirmed
BK202306087295,TRVL000921,2023-06-08,"Berlin, Germany",Hotel Only,Multi-City,3,9,Phone,569.84,Confirmed
BK202306083428,TRVL000821,2023-06-08,"Paris, France",Hotel Only,Multi-City,3,3,Email,927.01,Confirmed
BK202306081686,TRVL000814,2023-06-08,"Los Angeles, USA",Complete Package,One Way,2,16,Mobile App,11788.27,Confirmed
BK202306082415,TRVL001909,2023-06-08,"Sydney, Australia",Flight + Hotel,Round Trip,1,19,Website,640.76,Confirmed
BK202306089871,TRVL000866,2023-06-08,"Barcelona, Spain",Hotel Only,One Way,4,21,Mobile App,703.95,Confirmed
BK202306085934,TRVL001021,2023-06-08,"Tokyo, Japan",Flight + Hotel,Multi-City,1,19,Travel Agent,2155.76,Confirmed
BK202306087023,TRVL001597,2023-06-08,"Sydney, Australia",Flight Only,Multi-City,4,0,Phone,1264.98,Confirmed
BK202306081795,TRVL000209,2023-06-08,"Barcelona, Spain",Flight + Hotel,One Way,1,17,Email,965.56,Confirmed
BK202306085037,TRVL001594,2023-06-08,"New York, USA",Cruise,Multi-City,2,19,Phone,16562.92,Confirmed
BK202306081639,TRVL001860,2023-06-08,"Paris, France",Complete Package,Round Trip,1,16,Travel Agent,1941.89,Confirmed
BK202306088355,TRVL000442,2023-06-08,"Tokyo, Japan",Cruise,Round Trip,1,4,Mobile App,9615.03,Confirmed
BK202306088841,TRVL001292,2023-06-08,"Copenhagen, Denmark",Cruise,Multi-City,3,10,Website,31360.52,Confirmed
BK202306082434,TRVL000016,2023-06-08,"Prague, Czech Republic",Flight Only,One Way,1,0,Phone,684.92,Confirmed
BK202306081097,TRVL000029,2023-06-08,"Los Angeles, USA",Complete Package,One Way,1,5,Travel Agent,4544.19,Confirmed
BK202306084119,TRVL001146,2023-06-08,"New York, USA",Flight Only,Multi-City,1,0,Website,858.17,Confirmed
BK202306089137,TRVL000945,2023-06-08,"Amsterdam, Netherlands",Flight Only,Round Trip,1,0,Email,1296.54,Confirmed
BK202306087294,TRVL000458,2023-06-08,"Dubai, UAE",Cruise,One Way,4,17,Phone,44305.17,Confirmed
BK202306082290,TRVL000534,2023-06-08,"Copenhagen, Denmark",Flight Only,Round Trip,2,0,Mobile App,543.35,Confirmed
BK202306097045,TRVL000976,2023-06-09,"Cancun, Mexico",Flight Only,Multi-City,1,0,Phone,1566.15,Confirmed
BK202306092237,TRVL001355,2023-06-09,"Barcelona, Spain",Cruise,One Way,1,8,Phone,4551.81,Confirmed
BK202306096088,TRVL001729,2023-06-09,"Miami, USA",Flight Only,Multi-City,1,0,Mobile App,633.83,Confirmed
BK202306097827,TRVL000529,2023-06-09,"Los Angeles, USA",Flight + Hotel,Multi-City,1,6,Website,2969.7,Confirmed
BK202306093003,TRVL001194,2023-06-09,"Istanbul, Turkey",Cruise,One Way,2,9,Phone,21850.67,Confirmed
BK202306097453,TRVL000209,2023-06-09,"Phuket, Thailand",Cruise,One Way,1,15,Website,8537.65,Confirmed
BK202306094232,TRVL000672,2023-06-09,"Cancun, Mexico",Cruise,Round Trip,2,20,Email,21412.04,Confirmed
BK202306098878,TRVL000591,2023-06-09,"New York, USA",Flight + Hotel,Multi-City,2,12,Phone,2465.17,Confirmed
BK202306095283,TRVL000001,2023-06-09,Singapore,Cruise,One Way,2,11,Phone,11947.26,Confirmed
BK202306097460,TRVL000269,2023-06-09,Singapore,Flight + Hotel,Round Trip,1,9,Travel Agent,3035.12,Confirmed
BK202306092468,TRVL001611,2023-06-09,Maldives,Flight Only,One Way,1,0,Email,1388.57,Confirmed
BK202306095325,TRVL001115,2023-06-09,"Sydney, Australia",Hotel Only,One Way,1,10,Email,548.77,Confirmed
BK202306098121,TRVL000141,2023-06-09,"Dubai, UAE",Hotel Only,Round Trip,2,5,Website,874.35,Confirmed
BK202306097226,TRVL001125,2023-06-09,"Berlin, Germany",Flight Only,One Way,4,0,Phone,2443.66,Confirmed
BK202306092730,TRVL000258,2023-06-09,"Rome, Italy",Cruise,Multi-City,4,4,Phone,47051.45,Confirmed
BK202306095972,TRVL000865,2023-06-09,"Cancun, Mexico",Complete Package,Round Trip,1,14,Mobile App,3864.1,Confirmed
BK202306097597,TRVL000006,2023-06-09,Iceland,Flight + Hotel,Multi-City,3,9,Website,5807.57,Confirmed
BK202306092049,TRVL000848,2023-06-09,"Vienna, Austria",Cruise,One Way,1,14,Travel Agent,8366.31,Confirmed
BK202306099715,TRVL000373,2023-06-09,"New York, USA",Flight + Hotel,One Way,1,3,Travel Agent,743.38,Confirmed
BK202306099574,TRVL001496,2023-06-09,"Cancun, Mexico",Cruise,Multi-City,2,17,Email,5123.9,Confirmed
BK202306094463,TRVL000045,2023-06-09,"Tokyo, Japan",Flight + Hotel,Multi-City,1,18,Mobile App,1371.87,Confirmed
BK202306098717,TRVL000902,2023-06-09,Switzerland,Flight + Hotel,Round Trip,2,2,Website,2251.05,Confirmed
BK202306095842,TRVL001726,2023-06-09,"Paris, France",Cruise,One Way,5,20,Travel Agent,55804.85,Confirmed
BK202306096881,TRVL000986,2023-06-09,"Bali, Indonesia",Cruise,Multi-City,1,14,Website,4166.24,Confirmed
BK202306091577,TRVL000527,2023-06-09,"Amsterdam, Netherlands",Cruise,One Way,2,13,Travel Agent,18366.96,Confirmed
BK202306109594,TRVL000515,2023-06-10,"Copenhagen, Denmark",Cruise,Round Trip,1,14,Travel Agent,7041.37,Confirmed
BK202306101390,TRVL000243,2023-06-10,Switzerland,Cruise,One Way,2,20,Mobile App,14315.71,Confirmed
BK202306101181,TRVL001164,2023-06-10,"Bali, Indonesia",Hotel Only,One Way,2,8,Website,405.57,Confirmed
BK202306105314,TRVL000289,2023-06-10,"Santorini, Greece",Cruise,One Way,2,2,Website,12945.94,Confirmed
BK202306105885,TRVL001157,2023-06-10,"Copenhagen, Denmark",Cruise,One Way,2,4,Mobile App,18441.75,Confirmed
BK202306109459,TRVL000164,2023-06-10,"Santorini, Greece",Flight + Hotel,Round Trip,2,3,Phone,4915.36,Confirmed
BK202306109212,TRVL000497,2023-06-10,"Paris, France",Flight + Hotel,Round Trip,2,10,Phone,2612.22,Confirmed
BK202306109281,TRVL000171,2023-06-10,"Rome, Italy",Flight + Hotel,One Way,2,10,Travel Agent,4239.51,Confirmed
BK202306104994,TRVL000135,2023-06-10,"Istanbul, Turkey",Complete Package,Round Trip,1,20,Travel Agent,3310.69,Confirmed
BK202306104597,TRVL000011,2023-06-10,Maldives,Cruise,Round Trip,1,3,Website,4059.82,Confirmed
BK202306109190,TRVL001935,2023-06-10,"Los Angeles, USA",Flight + Hotel,Multi-City,2,8,Travel Agent,2869.94,Confirmed
BK202306107079,TRVL001007,2023-06-10,"Copenhagen, Denmark",Flight Only,Round Trip,1,0,Phone,584.02,Confirmed
BK202306102670,TRVL000751,2023-06-10,"Los Angeles, USA",Cruise,One Way,1,5,Travel Agent,8004.4,Confirmed
BK202306101113,TRVL001236,2023-06-10,"Los Angeles, USA",Cruise,Round Trip,2,14,Mobile App,18529.38,Confirmed
BK202306103804,TRVL001352,2023-06-10,"Sydney, Australia",Cruise,One Way,2,7,Email,12327.65,Confirmed
BK202306105178,TRVL000019,2023-06-10,"Los Angeles, USA",Cruise,Round Trip,5,17,Phone,30928.16,Confirmed
BK202306105735,TRVL000562,2023-06-10,"Istanbul, Turkey",Hotel Only,One Way,1,9,Travel Agent,767.81,Confirmed
BK202306108765,TRVL000081,2023-06-10,"Sydney, Australia",Flight Only,Round Trip,2,0,Phone,2521.9,Confirmed
BK202306102756,TRVL000955,2023-06-10,Switzerland,Complete Package,Round Trip,6,15,Phone,29351.66,Confirmed
BK202306109249,TRVL000288,2023-06-10,"Sydney, Australia",Complete Package,Round Trip,2,19,Website,8679.59,Confirmed
BK202306105360,TRVL001345,2023-06-10,"Copenhagen, Denmark",Flight + Hotel,Multi-City,2,20,Phone,5174.6,Confirmed
BK202306105167,TRVL000041,2023-06-10,Singapore,Cruise,Round Trip,6,3,Travel Agent,62733.77,Confirmed
BK202306106779,TRVL000470,2023-06-10,"Santorini, Greece",Flight + Hotel,One Way,1,3,Phone,1982.06,Confirmed
BK202306102097,TRVL001994,2023-06-10,"Barcelona, Spain",Cruise,Multi-City,2,2,Mobile App,5950.26,Confirmed
BK202306104989,TRVL000143,2023-06-10,Maldives,Complete Package,Round Trip,2,17,Mobile App,13094.71,Confirmed
BK202306101928,TRVL000197,2023-06-10,"Istanbul, Turkey",Cruise,Round Trip,1,17,Travel Agent,2803.53,Confirmed
BK202306109491,TRVL000228,2023-06-10,"Vienna, Austria",Hotel Only,One Way,1,10,Mobile App,639.46,Confirmed
BK202306108993,TRVL000883,2023-06-10,"Istanbul, Turkey",Flight Only,Round Trip,4,0,Phone,3014.38,Confirmed
BK202306104070,TRVL001071,2023-06-10,"Istanbul, Turkey",Hotel Only,Round Trip,2,5,Website,1483.48,Confirmed
BK202306107529,TRVL001178,2023-06-10,Singapore,Hotel Only,One Way,1,16,Website,444.75,Confirmed
BK202306119192,TRVL000014,2023-06-11,Singapore,Cruise,One Way,1,21,Phone,4437.5,Confirmed
BK202306118044,TRVL000406,2023-06-11,Maldives,Flight + Hotel,One Way,1,13,Email,1115.99,Confirmed
BK202306113161,TRVL001732,2023-06-11,"Prague, Czech Republic",Complete Package,Round Trip,2,10,Phone,5948.68,Confirmed
BK202306117556,TRVL001942,2023-06-11,Singapore,Cruise,Round Trip,4,12,Mobile App,33693.6,Confirmed
BK202306118173,TRVL000013,2023-06-11,"Miami, USA",Cruise,Multi-City,3,15,Travel Agent,9907.83,Confirmed
BK202306117466,TRVL000102,2023-06-11,"Prague, Czech Republic",Flight + Hotel,Round Trip,3,12,Mobile App,2871.19,Confirmed
BK202306117830,TRVL001246,2023-06-11,"Miami, USA",Flight + Hotel,Round Trip,2,10,Phone,6618.37,Confirmed
BK202306111212,TRVL000748,2023-06-11,"Istanbul, Turkey",Cruise,Multi-City,1,13,Phone,12022.77,Confirmed
BK202306117242,TRVL000001,2023-06-11,"Amsterdam, Netherlands",Flight + Hotel,One Way,6,5,Travel Agent,6320.99,Confirmed
BK202306114638,TRVL001348,2023-06-11,"Bangkok, Thailand",Cruise,Multi-City,2,21,Email,4576.26,Confirmed
BK202306115147,TRVL001997,2023-06-11,"Paris, France",Flight + Hotel,Round Trip,6,19,Mobile App,7377.22,Confirmed
BK202306114636,TRVL000247,2023-06-11,"Prague, Czech Republic",Complete Package,One Way,1,4,Phone,4372.52,Confirmed
BK202306113820,TRVL001578,2023-06-11,"Miami, USA",Cruise,One Way,2,10,Email,8184.73,Confirmed
BK202306114018,TRVL000734,2023-06-11,"Miami, USA",Flight + Hotel,Round Trip,3,21,Website,6176.83,Confirmed
BK202306113839,TRVL000026,2023-06-11,"London, UK",Cruise,One Way,5,3,Website,28028.23,Confirmed
BK202306116903,TRVL000509,2023-06-11,"Vienna, Austria",Complete Package,Round Trip,2,21,Travel Agent,14234.67,Confirmed
BK202306111262,TRVL000009,2023-06-11,"Prague, Czech Republic",Hotel Only,One Way,3,12,Email,498.55,Confirmed
BK202306112631,TRVL001858,2023-06-11,Maldives,Flight Only,Multi-City,2,0,Travel Agent,462.22,Confirmed
BK202306114427,TRVL001519,2023-06-11,Switzerland,Complete Package,One Way,2,5,Mobile App,9637.69,Confirmed
BK202306114559,TRVL000127,2023-06-11,"Sydney, Australia",Cruise,One Way,4,19,Travel Agent,22132.85,Confirmed
BK202306114516,TRVL000580,2023-06-11,Switzerland,Flight Only,One Way,2,0,Mobile App,1834.37,Confirmed
BK202306112518,TRVL000269,2023-06-11,Iceland,Complete Package,Multi-City,1,3,Phone,4391.87,Confirmed
BK202306126837,TRVL000094,2023-06-12,"New York, USA",Cruise,One Way,2,14,Email,6805.73,Confirmed
BK202306123855,TRVL001281,2023-06-12,Maldives,Complete Package,Round Trip,1,17,Website,4723.36,Confirmed
BK202306129435,TRVL000069,2023-06-12,"Barcelona, Spain",Complete Package,Multi-City,2,8,Website,9640.44,Confirmed
BK202306121605,TRVL000426,2023-06-12,"Barcelona, Spain",Hotel Only,One Way,4,13,Website,960.79,Confirmed
BK202306128410,TRVL000121,2023-06-12,Maldives,Cruise,Round Trip,1,8,Website,5461.78,Confirmed
BK202306129954,TRVL000222,2023-06-12,"Cancun, Mexico",Flight Only,Round Trip,1,0,Email,1044.8,Confirmed
BK202306125738,TRVL000091,2023-06-12,Singapore,Flight Only,One Way,3,0,Email,3205.08,Confirmed
BK202306123491,TRVL000065,2023-06-12,"London, UK",Cruise,Multi-City,2,15,Email,9626.55,Confirmed
BK202306124014,TRVL001535,2023-06-12,Maldives,Flight + Hotel,Multi-City,2,15,Website,2720.43,Confirmed
BK202306129986,TRVL001969,2023-06-12,"Tokyo, Japan",Hotel Only,One Way,6,18,Travel Agent,3358.85,Confirmed
BK202306121597,TRVL000903,2023-06-12,"Cancun, Mexico",Hotel Only,Multi-City,1,13,Mobile App,721.33,Cancelled
BK202306122736,TRVL000952,2023-06-12,Iceland,Cruise,Round Trip,2,4,Mobile App,16283.83,Confirmed
BK202306123508,TRVL000366,2023-06-12,"Los Angeles, USA",Complete Package,One Way,2,8,Travel Agent,7876.03,Confirmed
BK202306127492,TRVL000015,2023-06-12,Switzerland,Flight Only,One Way,1,0,Travel Agent,1522.3,Confirmed
BK202306123981,TRVL000019,2023-06-12,"Cancun, Mexico",Cruise,Round Trip,2,21,Travel Agent,5548.2,Confirmed
BK202306125180,TRVL000022,2023-06-12,"New York, USA",Cruise,Round Trip,2,11,Travel Agent,4370.02,Cancelled
BK202306122867,TRVL000095,2023-06-12,"Cancun, Mexico",Flight Only,Multi-City,3,0,Website,2910.04,Confirmed
BK202306124232,TRVL001754,2023-06-12,"Sydney, Australia",Flight Only,Multi-City,6,0,Travel Agent,1374.86,Confirmed
BK202306125316,TRVL000330,2023-06-12,"Tokyo, Japan",Flight + Hotel,Multi-City,2,12,Email,4508.4,Confirmed
BK202306122958,TRVL001230,2023-06-12,"Tokyo, Japan",Flight Only,Round Trip,2,0,Mobile App,822.7,Confirmed
BK202306125640,TRVL000092,2023-06-12,"New York, USA",Cruise,One Way,2,6,Phone,16073.07,Confirmed
BK202306123823,TRVL000735,2023-06-12,"Los Angeles, USA",Cruise,Round Trip,1,11,Website,9205.55,Confirmed
BK202306126756,TRVL000407,2023-06-12,"Paris, France",Flight + Hotel,Multi-City,1,20,Mobile App,468.93,Confirmed
BK202306126242,TRVL000563,2023-06-12,"Rome, Italy",Cruise,One Way,1,18,Email,8484.05,Confirmed
BK202306122531,TRVL000183,2023-06-12,"Los Angeles, USA",Flight Only,One Way,2,0,Phone,1089.93,Confirmed
BK202306138894,TRVL000684,2023-06-13,"Istanbul, Turkey",Flight Only,Round Trip,1,0,Email,1149.2,Confirmed
BK202306132644,TRVL000373,2023-06-13,Switzerland,Hotel Only,One Way,1,21,Email,668.32,Confirmed
BK202306137453,TRVL001106,2023-06-13,"Bali, Indonesia",Cruise,One Way,1,12,Phone,9660.01,Confirmed
BK202306131151,TRVL000748,2023-06-13,Iceland,Cruise,One Way,2,12,Travel Agent,16782.81,Confirmed
BK202306139581,TRVL000106,2023-06-13,"Istanbul, Turkey",Hotel Only,Multi-City,1,16,Mobile App,590.68,Confirmed
BK202306138178,TRVL001929,2023-06-13,"London, UK",Cruise,Multi-City,2,14,Mobile App,13935.89,Confirmed
BK202306134565,TRVL001169,2023-06-13,"Santorini, Greece",Cruise,Round Trip,6,18,Website,16545.17,Confirmed
BK202306135288,TRVL000132,2023-06-13,"Sydney, Australia",Complete Package,Round Trip,4,8,Email,17111.58,Confirmed
BK202306134182,TRVL000302,2023-06-13,"Sydney, Australia",Complete Package,Multi-City,2,15,Email,7272.03,Confirmed
BK202306131690,TRVL000826,2023-06-13,"Vienna, Austria",Cruise,Round Trip,3,12,Phone,22547.89,Confirmed
BK202306138461,TRVL000078,2023-06-13,"Los Angeles, USA",Flight Only,Multi-City,1,0,Email,1459.99,Confirmed
BK202306131277,TRVL000470,2023-06-13,"Los Angeles, USA",Flight + Hotel,One Way,2,18,Travel Agent,1666.52,Confirmed
BK202306135324,TRVL000278,2023-06-13,"Berlin, Germany",Cruise,Round Trip,3,11,Mobile App,8282.68,Confirmed
BK202306133403,TRVL001682,2023-06-13,Singapore,Complete Package,One Way,2,21,Website,11076.73,Confirmed
BK202306135101,TRVL001267,2023-06-13,Switzerland,Hotel Only,One Way,1,9,Mobile App,368.31,Confirmed
BK202306131306,TRVL000208,2023-06-13,"Bali, Indonesia",Cruise,One Way,3,2,Website,22516.75,Confirmed
BK202306139178,TRVL000030,2023-06-13,"Paris, France",Cruise,Multi-City,2,14,Phone,19617.42,Confirmed
BK202306132844,TRVL000529,2023-06-13,"Amsterdam, Netherlands",Hotel Only,Round Trip,6,19,Travel Agent,2716.77,Cancelled
BK202306134343,TRVL001343,2023-06-13,"Istanbul, Turkey",Hotel Only,One Way,1,4,Mobile App,372.19,Cancelled
BK202306139541,TRVL001487,2023-06-13,"London, UK",Complete Package,One Way,3,5,Travel Agent,11573.71,Confirmed
BK202306134589,TRVL000986,2023-06-13,"Copenhagen, Denmark",Cruise,Multi-City,4,7,Travel Agent,15372.75,Confirmed
BK202306138714,TRVL000743,2023-06-13,Switzerland,Hotel Only,One Way,2,12,Phone,708.61,Confirmed
BK202306135777,TRVL000270,2023-06-13,Singapore,Complete Package,One Way,2,18,Phone,8398.65,Confirmed
BK202306139914,TRVL000282,2023-06-13,"Istanbul, Turkey",Hotel Only,One Way,4,16,Travel Agent,2616.19,Confirmed
BK202306135833,TRVL000450,2023-06-13,"Cancun, Mexico",Flight + Hotel,Multi-City,2,9,Phone,4636.69,Confirmed
BK202306135918,TRVL000001,2023-06-13,"Amsterdam, Netherlands",Hotel Only,Round Trip,2,15,Travel Agent,551.64,Confirmed
BK202306135242,TRVL000746,2023-06-13,"Barcelona, Spain",Hotel Only,Round Trip,2,20,Mobile App,686.79,Confirmed
BK202306139433,TRVL001856,2023-06-13,"Bali, Indonesia",Flight + Hotel,One Way,4,11,Travel Agent,3499.94,Confirmed
BK202306138250,TRVL000004,2023-06-13,"Phuket, Thailand",Cruise,One Way,2,20,Phone,7766.46,Confirmed
BK202306131331,TRVL001761,2023-06-13,"Bangkok, Thailand",Cruise,Multi-City,2,5,Phone,17412.66,Confirmed
BK202306137074,TRVL000728,2023-06-13,Maldives,Flight + Hotel,Multi-City,3,12,Email,5403.36,Confirmed
BK202306142123,TRVL000095,2023-06-14,"Rome, Italy",Flight Only,Round Trip,1,0,Email,536.36,Confirmed
BK202306147467,TRVL000117,2023-06-14,"London, UK",Cruise,Multi-City,3,2,Mobile App,15836.62,Confirmed
BK202306145903,TRVL001566,2023-06-14,"Santorini, Greece",Cruise,One Way,3,20,Website,25277.34,Confirmed
BK202306148015,TRVL000094,2023-06-14,"Barcelona, Spain",Flight + Hotel,Round Trip,1,21,Travel Agent,1288.61,Confirmed
BK202306142830,TRVL000423,2023-06-14,Maldives,Flight Only,One Way,1,0,Website,1182.61,Confirmed
BK202306142560,TRVL000053,2023-06-14,"Bangkok, Thailand",Flight Only,Round Trip,2,0,Email,1104.89,Confirmed
BK202306143434,TRVL000851,2023-06-14,"Santorini, Greece",Hotel Only,Multi-City,3,15,Email,790.98,Confirmed
BK202306146182,TRVL000746,2023-06-14,"Tokyo, Japan",Flight Only,Round Trip,1,0,Website,1369.9,Confirmed
BK202306148542,TRVL000273,2023-06-14,"Santorini, Greece",Flight + Hotel,Round Trip,3,5,Phone,7983.05,Confirmed
BK202306147195,TRVL001445,2023-06-14,"Paris, France",Hotel Only,Round Trip,2,13,Mobile App,1690.88,Confirmed
BK202306146013,TRVL000476,2023-06-14,"Rome, Italy",Flight + Hotel,Round Trip,2,5,Travel Agent,4925.16,Confirmed
BK202306146757,TRVL000051,2023-06-14,"Santorini, Greece",Cruise,One Way,3,14,Website,13567.36,Confirmed
BK202306148169,TRVL000394,2023-06-14,Maldives,Cruise,Round Trip,2,15,Email,20820.2,Confirmed
BK202306145496,TRVL001225,2023-06-14,"Dubai, UAE",Flight + Hotel,One Way,3,16,Phone,4871.13,Confirmed
